InputClass,ClassAccuracy
airport,1.0
airport_hangar,0.9333333333333333
airport_terminal,1.0
amusement_park,0.8666666666666667
aquaculture,1.0
archaeological_site,1.0
barn,0.8666666666666667
border_checkpoint,1.0
burial_site,0.5333333333333333
car_dealership,0.8666666666666667
construction_site,0.8
crop_field,0.9333333333333333
dam,0.8666666666666667
debris_or_rubble,0.8666666666666667
educational_institution,0.8666666666666667
electric_substation,0.9333333333333333
factory_or_powerplant,0.6
fire_station,0.8666666666666667
flooded_road,1.0
fountain,0.9333333333333333
gas_station,1.0
golf_course,1.0
ground_transportation_station,0.6666666666666666
helipad,0.5333333333333333
hospital,0.9333333333333333
impoverished_settlement,0.8
interchange,1.0
lake_or_pond,1.0
lighthouse,1.0
military_facility,0.5333333333333333
multi-unit_residential,0.6666666666666666
nuclear_powerplant,0.9333333333333333
office_building,0.4666666666666667
oil_or_gas_facility,0.7333333333333333
park,0.5333333333333333
parking_lot_or_garage,0.6666666666666666
place_of_worship,1.0
police_station,0.4666666666666667
port,0.8666666666666667
prison,0.9333333333333333
race_track,1.0
railway_bridge,1.0
recreational_facility,0.9333333333333333
road_bridge,0.8666666666666667
runway,1.0
shipyard,0.7142857142857143
shopping_mall,0.8666666666666667
single-unit_residential,0.4666666666666667
smokestack,0.9333333333333333
solar_farm,0.8
space_facility,0.9285714285714286
stadium,1.0
storage_tank,0.8666666666666667
surface_mine,0.6
swimming_pool,0.4
toll_booth,0.9333333333333333
tower,0.9333333333333333
tunnel_opening,1.0
waste_disposal,0.8571428571428571
water_treatment_facility,0.8666666666666667
wind_farm,0.9333333333333333
zoo,1.0
