InputClass,ClassAccuracy
airport,0.9333333333333333
airport_hangar,0.4666666666666667
airport_terminal,0.8666666666666667
amusement_park,0.8666666666666667
aquaculture,0.8666666666666667
archaeological_site,0.8666666666666667
barn,0.6666666666666666
border_checkpoint,0.6
burial_site,0.2
car_dealership,0.8666666666666667
construction_site,0.3333333333333333
crop_field,0.6
dam,0.6666666666666666
debris_or_rubble,0.4
educational_institution,0.2
electric_substation,0.4666666666666667
factory_or_powerplant,0.3333333333333333
fire_station,0.13333333333333333
flooded_road,0.4666666666666667
fountain,0.2
gas_station,0.13333333333333333
golf_course,0.8
ground_transportation_station,0.7333333333333333
helipad,0.4666666666666667
hospital,0.2
impoverished_settlement,1.0
interchange,1.0
lake_or_pond,0.5333333333333333
lighthouse,0.7333333333333333
military_facility,0.13333333333333333
multi-unit_residential,0.4
nuclear_powerplant,0.7333333333333333
office_building,0.06666666666666667
oil_or_gas_facility,0.6
park,0.4666666666666667
parking_lot_or_garage,0.2
place_of_worship,0.4
police_station,0.4666666666666667
port,0.8666666666666667
prison,0.5333333333333333
race_track,0.9333333333333333
railway_bridge,0.6666666666666666
recreational_facility,0.6666666666666666
road_bridge,0.26666666666666666
runway,0.9333333333333333
shipyard,0.7857142857142857
shopping_mall,0.6
single-unit_residential,0.4666666666666667
smokestack,0.2
solar_farm,0.6
space_facility,0.9285714285714286
stadium,1.0
storage_tank,0.6
surface_mine,0.8
swimming_pool,0.6
toll_booth,0.8666666666666667
tower,0.2
tunnel_opening,1.0
waste_disposal,0.14285714285714285
water_treatment_facility,0.8
wind_farm,0.7333333333333333
zoo,0.5333333333333333
