InputClass,ClassAccuracy
airport,1.0
airport_hangar,0.2
airport_terminal,0.4
amusement_park,0.2
aquaculture,0.6
archaeological_site,0.0
barn,0.0
border_checkpoint,0.0
burial_site,0.0
car_dealership,0.2
construction_site,0.0
crop_field,0.0
dam,0.0
debris_or_rubble,0.2
educational_institution,0.0
electric_substation,0.2
factory_or_powerplant,0.0
fire_station,0.0
flooded_road,0.4
fountain,0.0
gas_station,0.0
golf_course,0.6
ground_transportation_station,0.2
helipad,0.0
hospital,0.0
impoverished_settlement,0.6
interchange,1.0
lake_or_pond,0.0
lighthouse,0.4
military_facility,0.0
multi-unit_residential,0.0
nuclear_powerplant,0.0
office_building,0.0
oil_or_gas_facility,0.2
park,0.0
parking_lot_or_garage,0.0
place_of_worship,0.2
police_station,0.0
port,0.4
prison,0.4
race_track,0.4
railway_bridge,0.0
recreational_facility,0.4
road_bridge,0.0
runway,0.6
shipyard,0.0
shopping_mall,0.4
single-unit_residential,0.2
smokestack,0.0
solar_farm,0.6
space_facility,0.8
stadium,1.0
storage_tank,0.2
surface_mine,0.0
swimming_pool,0.2
toll_booth,0.25
tower,0.0
tunnel_opening,0.8
waste_disposal,0.0
water_treatment_facility,0.0
wind_farm,0.4
zoo,0.0
