InputClass,ClassAccuracy
airport,0.6
airport_hangar,0.8
airport_terminal,1.0
amusement_park,0.8666666666666667
aquaculture,1.0
archaeological_site,0.6666666666666666
barn,0.9333333333333333
border_checkpoint,0.8
burial_site,0.8666666666666667
car_dealership,1.0
construction_site,0.8666666666666667
crop_field,1.0
dam,1.0
debris_or_rubble,0.9333333333333333
educational_institution,0.9333333333333333
electric_substation,0.8
factory_or_powerplant,0.8666666666666667
fire_station,1.0
flooded_road,0.8
fountain,0.7333333333333333
gas_station,0.9333333333333333
golf_course,1.0
ground_transportation_station,1.0
helipad,0.7333333333333333
hospital,1.0
impoverished_settlement,1.0
interchange,1.0
lake_or_pond,1.0
lighthouse,0.9333333333333333
military_facility,0.9333333333333333
multi-unit_residential,0.7333333333333333
nuclear_powerplant,0.9333333333333333
office_building,1.0
oil_or_gas_facility,0.8666666666666667
park,1.0
parking_lot_or_garage,0.9333333333333333
place_of_worship,1.0
police_station,0.6666666666666666
port,0.8
prison,0.6
race_track,0.6
railway_bridge,1.0
recreational_facility,0.8666666666666667
road_bridge,0.9333333333333333
runway,1.0
shipyard,0.9285714285714286
shopping_mall,1.0
single-unit_residential,1.0
smokestack,0.9333333333333333
solar_farm,1.0
space_facility,0.6428571428571429
stadium,0.6
storage_tank,0.8666666666666667
surface_mine,0.8
swimming_pool,0.8
toll_booth,0.8
tower,0.7333333333333333
tunnel_opening,1.0
waste_disposal,1.0
water_treatment_facility,0.9333333333333333
wind_farm,0.8666666666666667
zoo,0.8
