InputClass,ClassAccuracy
airport,0.5
airport_hangar,0.0
airport_terminal,0.0
amusement_park,0.2
aquaculture,0.6
archaeological_site,0.0
barn,0.0
border_checkpoint,0.0
burial_site,0.0
car_dealership,0.0
construction_site,0.0
crop_field,0.6
dam,0.0
debris_or_rubble,0.0
educational_institution,0.2
electric_substation,0.0
factory_or_powerplant,0.0
fire_station,0.0
flooded_road,0.2
fountain,0.2
gas_station,0.0
golf_course,0.2
ground_transportation_station,0.0
helipad,0.0
hospital,0.0
impoverished_settlement,0.6
interchange,0.8
lake_or_pond,0.4
lighthouse,0.4
military_facility,0.2
multi-unit_residential,0.2
nuclear_powerplant,0.6666666666666666
office_building,0.0
oil_or_gas_facility,0.2
park,0.2
parking_lot_or_garage,0.0
place_of_worship,0.2
police_station,0.0
port,0.6
prison,0.8
race_track,0.4
railway_bridge,0.0
recreational_facility,0.0
road_bridge,0.0
runway,0.0
shipyard,0.25
shopping_mall,0.6
single-unit_residential,0.0
smokestack,0.2
solar_farm,0.6
space_facility,0.6
stadium,0.8
storage_tank,0.6
surface_mine,0.0
swimming_pool,0.0
toll_booth,0.0
tower,0.0
tunnel_opening,0.4
waste_disposal,0.2
water_treatment_facility,0.0
wind_farm,0.0
zoo,0.0
