InputClass,ClassAccuracy
airport,0.5
airport_hangar,0.2
airport_terminal,0.0
amusement_park,0.0
aquaculture,0.4
archaeological_site,0.4
barn,0.2
border_checkpoint,0.2
burial_site,0.0
car_dealership,0.4
construction_site,0.0
crop_field,0.2
dam,0.0
debris_or_rubble,0.0
educational_institution,0.0
electric_substation,0.0
factory_or_powerplant,0.0
fire_station,0.4
flooded_road,0.2
fountain,0.0
gas_station,0.0
golf_course,1.0
ground_transportation_station,0.0
helipad,0.0
hospital,0.0
impoverished_settlement,0.8
interchange,0.6
lake_or_pond,0.2
lighthouse,0.4
military_facility,0.0
multi-unit_residential,0.0
nuclear_powerplant,0.6666666666666666
office_building,0.0
oil_or_gas_facility,0.2
park,0.0
parking_lot_or_garage,0.2
place_of_worship,0.0
police_station,0.0
port,0.0
prison,0.2
race_track,0.6
railway_bridge,0.2
recreational_facility,0.2
road_bridge,0.0
runway,0.0
shipyard,0.5
shopping_mall,0.4
single-unit_residential,0.2
smokestack,0.2
solar_farm,0.6
space_facility,0.4
stadium,0.4
storage_tank,0.6
surface_mine,0.2
swimming_pool,0.0
toll_booth,0.0
tower,0.0
tunnel_opening,0.8
waste_disposal,0.2
water_treatment_facility,0.0
wind_farm,0.2
zoo,0.0
